/dev/input/event6: EV_SYN       SYN_REPORT           00000000
4.clsroom2/dev/input/event6: EV_ABS       ABS_MT_TRACKING_ID   000000d5
/dev/input/event6: EV_KEY       BTN_TOUCH            DOWN
/dev/input/event6: EV_KEY       BTN_TOOL_FINGER      DOWN
/dev/input/event6: EV_ABS       ABS_MT_POSITION_X    00000494
/dev/input/event6: EV_ABS       ABS_MT_POSITION_Y    0000049c
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000016
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000017
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000018
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000019
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   0000001a
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   0000001b
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000016
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000017
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000018
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000019
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   0000001a
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   0000001b
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000016
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TOUCH_MINOR   00000017
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
/dev/input/event6: EV_ABS       ABS_MT_TRACKING_ID   ffffffff
/dev/input/event6: EV_KEY       BTN_TOUCH            UP
/dev/input/event6: EV_KEY       BTN_TOOL_FINGER      UP
/dev/input/event6: EV_SYN       SYN_REPORT           00000000
5.clsroom3/dev/input/event6: EV_ABS       ABS_MT_TRACKING_ID   000000d6
/dev/input/event6: EV_KEY       BTN_TOUCH            DOWN
/dev/input/event6: EV_KEY       BTN_TOOL_FINGER      DOWN
/dev/input/event6: EV_ABS       ABS_MT_POSITION_X    0000059a
/dev/input/event6: EV_ABS       ABS_MT_POSITION_Y    00000582
